,NOMBRE,DIRECCION,BARRIO,COCINA,SITUACION,TERRAZA,SUPERFICIE_OCUPADA,RATING,NUM_OPINIONES,PRECIO,LONGITUD,LATITUD
693,La Taverna - Casino Barcelona,"C. MARINA, 19",la Barceloneta,MEDITERRANEO,Cerrado,Si,32.0,0.0,0,20,2.19657,41.38711
694,La Taverna del Poblenou by Chef Reina,"C. LLULL, 147",el Poblenou,MEDITERRANEO,Abierto,Si,4.5,9.3,404,22,2.19977,41.39934
695,La Taverneta Barcelona,"C. FRANCESC PUJOLS, 3",el Barri Gòtic,CATALAN,None,Si,6.75,0.0,0,25,2.17291,41.38438
696,La Terraza Miró,"C. TARRAGONA, 129",Hostafrancs,ESPAÑOL,Abierto,Si,13.5,9.5,2523,30,2.146,41.37745
697,La Terraza del Claris - Hotel Claris,"C. PAU CLARIS, 150",la Dreta de l'Eixample,MEDITERRANEO,Cerrado,No,None,9.4,2237,55,2.16503,41.39449
698,La Terraza del Pelai,"C. PELAI, 28",el Raval,MEDITERRANEO,None,No,None,9.5,5,25,2.16682,41.38566
699,La Tertulia,"RBLA. POBLENOU, 34",el Poblenou,MEDITERRANEO,Abierto,Si,18.0,8.8,42,18,2.20377,41.39933
700,La Timpa,"C. NOU DE LA RAMBLA, 154",el Poble Sec,ITALIANO,Cerrado,Si,2.4,0.0,0,17,2.1671,41.37227
701,La Torreta de l'Escorial,"C. ESCORIAL, 158",el Camp d'en Grassot i Gràcia Nova,CATALAN,None,No,None,0.0,0,25,2.15888,41.41009
702,La Triunfal,"PG. SANT JOAN, 4",el Fort Pienc,MEDITERRANEO,Abierto,Si,13.5,8.6,932,25,2.18005,41.39182
703,La Trobada,"C. PROVENÇA, 99",la Nova Esquerra de l'Eixample,MEDITERRANEO,None,Si,2.25,0.0,0,17,2.15008,41.38628
704,La Vermuterie,"C. LONDRES, 103",l'Antiga Esquerra de l'Eixample,MEDITERRANEO,Abierto,Si,4.5,8.7,1645,22,2.15078,41.39364
705,La Vespa,"C. TORRENT DE OLLA, 99",la Vila de Gràcia,ITALIANO,None,No,None,9.1,336,13,2.15723,41.40203
706,La Vietnamita,"C. TORRENT DE OLLA, 78",la Vila de Gràcia,VIETNAMITA,None,No,None,0.0,0,29,2.15908,41.40079
707,La Vietnamita - Born,"C. COMERÇ, 17","Sant Pere, Santa Caterina i la Ribera",ASIATICO,None,Si,2.4,8.8,67,18,2.18211,41.38709
708,La Villa Sants,"PG. SANT ANTONI, 15",Sants,Sin información,Abierto,Si,18.0,9.2,605,15,2.13686,41.37705
709,La boca agua,"C. ROSER, 34",el Poble-sec,MEDITERRANEO,None,No,None,9.3,36,30,2.16645,41.37316
710,La casa milagrosa,"C. FLORIDABLANCA, 88",Sant Antoni,FUSION,None,Si,4.37,8.9,45,20,2.15923,41.3789
711,La cratera,"C. VILLARROEL, 247",l'Antiga Esquerra de l'Eixample,MEDITERRANEO,Abierto,Si,11.25,8.4,287,25,2.14792,41.39178
712,La lola de las arenas,"G.V.. CORTS CATALANES, 373",la Nova Esquerra de l'Eixample,MEDITERRANEO,Abierto,Si,42.75,8.6,165,20,2.14997,41.37603
